beetle_ID,population,core_edge,weight,weight_date,sex,eclosion
Lj_036,Lj,edge,10.3,11-Oct,f,10/11/2018
Lj_038,Lj,edge,9.4,11-Oct,f,10/11/2018
Lj_039,Lj,edge,9.7,11-Oct,f,10/11/2018
Lj_040,Lj,edge,11.4,11-Oct,f,10/11/2018
Lj_015,Lj,edge,12.5,9-Oct,f,10/9/2018
Lj_012,Lj,edge,10.6,9-Oct,f,10/9/2018
Wi_121,Wi,edge,11.6,9-Oct,f,10/9/2018
Wi_122,Wi,edge,11.2,9-Oct,f,10/9/2018
Wi_127,Wi,edge,11.2,10-Oct,f,10/10/2018
Wi_130,Wi,edge,8.1,10-Oct,f,10/10/2018
Wi_131,Wi,edge,11.2,10-Oct,f,10/10/2018
Wi_132,Wi,edge,9.3,10-Oct,f,10/10/2018
Wi_133,Wi,edge,13.6,10-Oct,f,10/10/2018
Wi_141,Wi,edge,8,11-Oct,f,10/11/2018
Wi_147,Wi,edge,11.6,12-Oct,f,10/12/2018
Wi_134,Wi,edge,11.5,10-Oct,f,10/10/2018
Wi_123,Wi,edge,10.3,9-Oct,f,10/9/2018
Wi_135,Wi,edge,8.9,10-Oct,f,10/10/2018
Wi_143,Wi,edge,7.7,11-Oct,f,10/11/2018
Wi_115,Wi,edge,10.5,9-Oct,f,10/9/2018
Wi_118,Wi,edge,10.4,9-Oct,f,10/9/2018
Wi_136,Wi,edge,8.6,10-Oct,f,10/10/2018
Wi_144,Wi,edge,10,11-Oct,f,10/11/2018
Wi_149,Wi,edge,12.3,12-Oct,f,10/12/2018
Wi_150,Wi,edge,12.7,12-Oct,f,10/12/2018
Wi_117,Wi,edge,10.6,9-Oct,f,10/9/2018
Wi_120,Wi,edge,10.8,9-Oct,f,10/9/2018
Wi_128,Wi,edge,7.8,10-Oct,f,10/10/2018
Wi_140,Wi,edge,11.4,11-Oct,f,10/11/2018
Wi_148,Wi,edge,11.7,12-Oct,f,10/12/2018
Wi_129,Wi,edge,11,10-Oct,f,10/10/2018
Wi_139,Wi,edge,9.2,11-Oct,f,10/11/2018
Wi_126,Wi,edge,11.9,9-Oct,f,10/9/2018
Wi_137,Wi,edge,10.3,11-Oct,f,10/11/2018
Wi_138,Wi,edge,11.5,11-Oct,f,10/11/2018
Wi_142,Wi,edge,11.5,11-Oct,f,10/11/2018
Wi_146,Wi,edge,9.8,11-Oct,f,10/11/2018
Wi_119,Wi,edge,9.5,9-Oct,f,10/9/2018
Wi_116,Wi,edge,8.7,9-Oct,f,10/9/2018
Wi_145,Wi,edge,9.8,11-Oct,f,10/11/2018
Wi_151,Wi,edge,9.3,12-Oct,f,10/12/2018
Wi_125,Wi,edge,10.9,9-Oct,f,10/9/2018
Wi_124,Wi,edge,11,9-Oct,f,10/9/2018
